article_id,title,newspaper_id,newspaper_title,page,date,category,words,illustrated,corrections,url,page_url
100037953,DIGGER DOINGS,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),3,1946-08-16,Article,280,N,1,https://nla.gov.au/nla.news-article100037953,http://trove.nla.gov.au/newspaper/page/10626478
100038198,Advertising,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),4,1945-05-04,Advertising,1225,N,0,https://nla.gov.au/nla.news-article100038198,http://trove.nla.gov.au/newspaper/page/10625670
100038244,Hospital Patients,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),1,1945-09-11,Article,269,N,1,https://nla.gov.au/nla.news-article100038244,http://trove.nla.gov.au/newspaper/page/10625889
100038477,Charge Against Henry Scanlon,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),3,1945-10-09,Article,127,N,0,https://nla.gov.au/nla.news-article100038477,http://trove.nla.gov.au/newspaper/page/10625939
10003860,THE RAILWAYS. PASSENGERS PREFER WALKING.,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",7,1906-01-23,Article,1099,N,0,https://nla.gov.au/nla.news-article10003860,http://trove.nla.gov.au/newspaper/page/343266
100039422,PERSONAL,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),3,1946-04-26,Article,643,N,1,https://nla.gov.au/nla.news-article100039422,http://trove.nla.gov.au/newspaper/page/10626258
100039424,Family Notices,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),4,1946-04-26,Family Notices,837,N,0,https://nla.gov.au/nla.news-article100039424,http://trove.nla.gov.au/newspaper/page/10626259
100039512,KURRI BABY SHOW,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),3,1946-11-19,Article,201,N,1,https://nla.gov.au/nla.news-article100039512,http://trove.nla.gov.au/newspaper/page/10626682
100039599,Family Notices,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),2,1946-06-18,Family Notices,893,N,1,https://nla.gov.au/nla.news-article100039599,http://trove.nla.gov.au/newspaper/page/10626359
100040058,HOSPITAL PATIENTS,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),3,1945-05-22,Article,377,N,1,https://nla.gov.au/nla.news-article100040058,http://trove.nla.gov.au/newspaper/page/10625701
100040422,PERSONAL,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),7,1946-11-15,Article,736,N,0,https://nla.gov.au/nla.news-article100040422,http://trove.nla.gov.au/newspaper/page/10626676
100040455,BENNETT INQUIRY IN MELBOURNE.,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),4,1945-11-20,Article,134,N,0,https://nla.gov.au/nla.news-article100040455,http://trove.nla.gov.au/newspaper/page/10626014
100040499,Cessnock High School. SUB-BRANCH OF ROYAL LIFE SAVING SOCIETY SECOND ANNUAL REPORT,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),6,1945-11-20,Article,1063,N,1,https://nla.gov.au/nla.news-article100040499,http://trove.nla.gov.au/newspaper/page/10626016
100040541,HOSPITAL PATIENTS,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),1,1945-04-17,Article,455,N,2,https://nla.gov.au/nla.news-article100040541,http://trove.nla.gov.au/newspaper/page/10625633
100040635,Family Notices,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),4,1945-04-20,Family Notices,766,N,2,https://nla.gov.au/nla.news-article100040635,http://trove.nla.gov.au/newspaper/page/10625642
100040791,The Downs of God UNIQUE RELIGIOUS PLAY.,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),3,1945-06-22,Article,508,N,0,https://nla.gov.au/nla.news-article100040791,http://trove.nla.gov.au/newspaper/page/10625753
100040857,Church of England Frolic.,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),1,1946-09-24,Article,184,N,0,https://nla.gov.au/nla.news-article100040857,http://trove.nla.gov.au/newspaper/page/10626556
100041017,Family Notices,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),4,1945-07-27,Family Notices,857,N,1,https://nla.gov.au/nla.news-article100041017,http://trove.nla.gov.au/newspaper/page/10625814
100041096,CRICKET,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),4,1946-10-29,Article,929,Y,0,https://nla.gov.au/nla.news-article100041096,http://trove.nla.gov.au/newspaper/page/10626637
